"","ARID1A","LCK","XCL1","RAP1GAP","SLC19A2","LCE2B","FANCD2","ZIC1","TRA2B","ADH1A","MSX2","PFDN1","HIST1H2AL","HIST1H2AL","HIST1H2AL","HIST1H2AL","SHFM1","SHFM1","DEFA6","KIAA0020","USP9X","NFKB2","TFCP2","EMG1","RNASE1","HIF1A","CYP19A1","BCL2L10","TFAP4","SGSM2","PDCD5","LILRB4","SNORD37","TGFB1"
"red",0,0,0,0,0.269230769230769,0.846153846153846,0,0,0,0,0,0.461538461538462,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0
"black",0.0384615384615385,0,0,0,0,0,0,0,0,0,0.846153846153846,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0.692307692307692,0,0,0,0,0,0,0
